SKU,Store,MAPE,Forecast,Test,Safety_Stock,Reorder_Point,Qty_to_Order,Runtime_sec
SKU_1004,Portugal,99.825,"[0.13174624227214266, 0.13329122246510014, 0.0664170264468955, 0.024516809718836036]","[0.0, 0.0, 0.0, 14.0]",4,4,4,0.36
SKU_1004,Spain,97.92,"[0.0, 0.0, 0.0, 0.3744898592356749]","[0.0, 0.0, 0.0, 18.0]",5,5,5,0.29
SKU_1004,Sweden,20.178,"[7.09041945692683, 7.0904109211776705, 7.266035741029962, 7.05]","[7.05, 7.05, 7.05, 30.0]",4,7,0,0.27
SKU_1004,United Kingdom,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 24.0]",4,4,4,0.44
SKU_1004,United States,99.917,"[0.0, 0.0, 0.0, 0.039705364370094205]","[0.0, 0.0, 0.0, 48.0]",4,4,4,0.29
SKU_1005,Australia,25.74,"[1.2139465092138388, 1.1735983258730194, 1.1736019935263873, 1.1820149623950553]","[1.24, 1.24, 1.24, 12.0]",4,5,4,0.31
SKU_1005,Belgium,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 30.0]",4,4,4,0.36
SKU_1005,France,100.0,"[0.0, 0.2966860109043298, 0.0, 0.0]","[0.0, 0.0, 0.0, 42.0]",0,0,0,0.29
SKU_1005,Germany,99.933,"[0.018726683941813007, 0.0, 0.0, 0.018722541920199343]","[0.0, 0.0, 0.0, 28.0]",5,5,5,0.31
SKU_1005,Italy,96.215,"[0.0, 0.0, 0.0, 0.37849608949308267]","[0.0, 0.0, 0.0, 10.0]",3,3,3,0.33
SKU_1005,Netherlands,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 32.0]",5,5,5,0.33
SKU_1005,Norway,26.457,"[1.140491773246279, 1.1044132934492636, 1.1044174028100464, 1.1418493370522882]","[1.15, 1.15, 1.15, 39.0]",3,4,3,0.38
SKU_1005,Portugal,100.0,"[1.039093881645198, 0.011963304913589984, 0.011963652128574106, 0.0]","[0.0, 0.0, 0.0, 37.0]",6,6,6,0.28
SKU_1005,Spain,100.0,"[0.03283355589226249, 0.04450448177799939, 0.017576255478115407, 0.0]","[0.0, 0.0, 0.0, 34.0]",2,2,2,0.34
SKU_1005,Sweden,99.88,"[0.06031457658729147, 0.05493982341246077, 0.049592314955686605, 0.04427191311301557]","[0.0, 0.0, 0.0, 37.0]",9,9,9,0.2
SKU_1005,United Kingdom,100.0,"[0.2911837260292339, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 41.0]",3,3,3,0.3
SKU_1005,United States,25.98,"[9.208085826947375, 8.42, 9.410796417994266, 8.42]","[8.42, 8.42, 8.42, 48.93]",5,9,0,0.24
SKU_1006,Australia,21.192,"[2.3702834962599137, 2.42, 2.42, 2.42]","[2.42, 2.42, 2.42, 14.0]",3,4,2,0.37
SKU_1006,France,100.0,"[1.6824608765226676, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 34.0]",6,6,6,0.31
SKU_1006,Germany,20.862,"[2.6657477343429505, 2.6637979692138716, 2.65, 2.65]","[2.65, 2.65, 2.65, 15.0]",2,4,1,0.46
SKU_1006,Italy,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 9.0]",2,2,2,0.32
SKU_1006,Netherlands,100.0,"[0.0027597731776223067, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 45.0]",1,1,1,0.28
SKU_1006,Norway,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 46.0]",4,4,4,0.26
SKU_1006,Portugal,11.724,"[5.103971336633477, 5.10398967464779, 5.148965013343749, 5.2]","[5.2, 5.2, 5.2, 9.0]",2,5,0,0.31
SKU_1006,Spain,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 47.0]",4,4,4,3.7
SKU_1006,Sweden,97.368,"[0.05253460816725334, 0.052570721224122055, 0.052603912324228376, 0.05263430324135958]","[0.0, 0.0, 0.0, 2.0]",6,6,6,0.32
SKU_1006,United Kingdom,99.458,"[8.344557982809288, 0.24101386604678635, 0.22060267057816454, 0.20052718199554673]","[0.0, 0.0, 0.0, 37.0]",11,12,12,0.14
SKU_1007,Australia,33.961,"[2.10868236616745, 1.48, 1.48, 1.393181207849481]","[1.48, 1.48, 1.48, 21.0]",4,5,3,0.32
SKU_1007,France,100.0,"[0.1952478743168728, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 40.0]",3,3,3,0.29
SKU_1007,Germany,99.92,"[0.02031806500593087, 0.17361658179045897, 0.023135068998023908, 0.023117052053052436]","[0.0, 0.0, 0.0, 29.0]",1,1,1,0.29
SKU_1007,Italy,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0]",5,5,5,0.42
SKU_1007,Netherlands,93.785,"[0.0, 0.0, 0.0, 0.4971660176451308]","[0.0, 0.0, 0.0, 8.0]",5,5,5,0.29
SKU_1007,Norway,98.137,"[0.0, 0.0, 0.0, 0.33529919393739904]","[0.0, 0.0, 0.0, 18.0]",3,3,3,0.34
SKU_1007,Portugal,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 16.0]",4,4,4,0.31
SKU_1007,Spain,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 27.0]",5,5,5,0.27
SKU_1007,Sweden,99.907,"[0.023988028080071572, 0.024019078358563112, 0.024048770225091536, 0.024077177673591067]","[0.0, 0.0, 0.0, 26.0]",4,4,4,0.35
SKU_1007,United Kingdom,21.335,"[5.8, 5.943765761091415, 5.9437412666887175, 9.180685057990829]","[5.8, 5.8, 5.8, 46.8]",6,9,3,0.46
SKU_1007,United States,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 49.0]",11,11,11,7.6
SKU_1008,Australia,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 32.0]",3,3,3,0.34
SKU_1008,Belgium,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 49.0]",2,2,2,0.26
SKU_1008,France,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 19.0]",2,2,2,0.24
SKU_1008,Germany,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 44.0]",4,4,4,0.3
SKU_1008,Italy,98.384,"[0.0, 0.0, 0.0, 0.12926149523788752]","[0.0, 0.0, 0.0, 8.0]",4,4,4,0.28
SKU_1008,Netherlands,99.002,"[0.0, 0.11999082044540499, 0.38712205840476155, 0.4192597663056023]","[0.0, 0.0, 0.0, 42.0]",2,2,2,0.38
SKU_1008,Norway,22.576,"[4.65, 4.524777377853436, 4.524799337374185, 4.52482141936709]","[4.65, 4.65, 4.65, 30.0]",4,6,2,0.23
SKU_1008,Portugal,21.588,"[8.15, 8.15, 8.04813864000531, 7.997534908894801]","[48.6, 8.15, 8.15, 8.15]",4,7,0,0.39
SKU_1008,Spain,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 34.0]",10,10,10,7.49
SKU_1008,Sweden,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 37.0]",2,2,2,0.3
SKU_1008,United Kingdom,21.64,"[7.1708717293561826, 7.17099110633492, 7.1711082915371565, 7.171222401992825]","[7.24, 7.24, 7.24, 44.0]",3,6,0,0.26
SKU_1008,United States,99.971,"[0.009254379478657142, 0.009233050723649569, 0.009214235561044113, 0.009198067829265986]","[0.0, 0.0, 0.0, 32.0]",2,2,2,0.35
SKU_1009,Australia,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 18.0]",4,4,4,0.31
SKU_1009,Belgium,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 37.0]",4,4,4,0.27
SKU_1009,France,99.953,"[0.006107870409871307, 0.00610140812286045, 0.0061011842873438735, 0.006100928806808604]","[0.0, 0.0, 0.0, 13.0]",4,4,4,0.29
SKU_1009,Germany,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 48.0]",4,4,4,0.68
SKU_1009,Italy,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 17.0]",4,4,4,0.68
SKU_1009,Netherlands,98.299,"[0.0, 0.0, 0.0, 0.527306545143652]","[0.0, 0.0, 0.0, 31.0]",6,6,6,0.16
SKU_1009,Norway,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0]",5,5,5,0.98
SKU_1009,Portugal,99.983,"[0.004470236061385105, 0.004654581774876371, 0.004830077089663914, 0.004997438429584245]","[0.0, 0.0, 0.0, 29.0]",5,5,5,0.57
SKU_1009,Spain,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 31.0]",4,4,4,0.32
SKU_1009,Sweden,20.97,"[9.776570341722197, 9.789622906826233, 9.80259745093099, 9.81549170025838]","[9.5, 9.5, 9.5, 38.85]",3,7,0,0.32
SKU_1009,United Kingdom,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]",6,6,6,0.24
SKU_1009,United States,61.555,"[1.9101849387055578, 2.3476506336582523, 1.5971235899044554, 1.4126046232125034]","[1.3, 1.3, 1.3, 33.95]",3,4,3,0.35
SKU_1010,Australia,100.0,"[0.9036636392746994, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 45.0]",5,5,5,0.26
SKU_1010,Belgium,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 37.0]",5,5,5,0.34
SKU_1010,France,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 21.0]",6,6,6,0.22
SKU_1010,Germany,100.0,"[0.0, 0.0, 0.19559884266374508, 0.0]","[0.0, 0.0, 0.0, 12.0]",2,2,2,0.28
SKU_1010,Italy,100.0,"[0.0, 0.3256093618622465, 0.0, 0.0]","[0.0, 0.0, 0.0, 11.0]",4,4,4,0.32
SKU_1010,Netherlands,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 11.0]",5,5,5,0.42
SKU_1010,Norway,99.91,"[0.0, 0.0, 0.0, 0.015325678271973776]","[0.0, 0.0, 0.0, 17.0]",3,3,3,0.29
SKU_1010,Portugal,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 13.0]",3,3,3,0.32
SKU_1010,United Kingdom,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 36.0]",3,3,3,0.33
SKU_1010,United States,99.939,"[0.21796751920816465, 0.009609050632606614, 0.00971065187017248, 0.009814699523332915]","[0.0, 0.0, 0.0, 16.0]",2,2,2,0.34
SKU_1011,Australia,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 49.0]",3,3,3,0.29
SKU_1011,Belgium,99.943,"[0.014948755620828508, 0.02589188882540261, 0.02065148165655848, 0.007928032731672632]","[0.0, 0.0, 0.0, 14.0]",1,1,1,0.46
SKU_1011,France,25.28,"[3.8815610005008585, 3.881478552322778, 3.8996253893501387, 3.88130938556336]","[4.05, 35.550000000000004, 4.05, 4.05]",2,4,0,0.24
SKU_1011,Germany,100.0,"[0.0, 0.579434707135642, 0.0, 0.0]","[0.0, 0.0, 0.0, 46.0]",5,5,5,0.28
SKU_1011,Italy,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 17.0]",2,2,2,0.42
SKU_1011,Netherlands,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 19.0]",2,2,2,0.33
SKU_1011,Norway,16.071,"[16.053010834128767, 16.0530170087527, 16.0530233918202, 16.1]","[16.1, 16.1, 16.1, 44.0]",2,9,0,0.26
SKU_1011,Spain,100.0,"[0.016074366046419805, 0.03933346077359694, 0.02075757788010829, 0.0]","[0.0, 0.0, 0.0, 42.0]",5,5,5,0.25
SKU_1011,Sweden,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 18.0]",3,3,3,0.29
SKU_1011,United Kingdom,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0]",4,4,4,0.32
SKU_1011,United States,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 6.0]",5,5,5,0.43
SKU_1012,Australia,99.939,"[0.028798547546708277, 0.018016949023821848, 0.009009496661689443, 0.014520966129958972]","[0.0, 0.0, 0.0, 24.0]",3,3,3,0.4
SKU_1012,Belgium,19.732,"[8.297626582820325, 8.29762697840085, 8.4, 8.933576113801628]","[8.4, 8.4, 8.4, 38.0]",3,6,0,0.25
SKU_1012,France,18.038,"[10.731715237675605, 10.791410362356952, 10.760109790584726, 10.567033239089875]","[10.95, 10.95, 10.95, 32.0]",4,9,0,0.31
SKU_1012,Germany,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 20.0]",4,4,4,0.34
SKU_1012,Italy,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 2.0]",3,3,3,0.34
SKU_1012,Netherlands,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 20.0]",6,6,6,0.35
SKU_1012,Portugal,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 29.0]",3,3,3,0.53
SKU_1012,Spain,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 15.0]",5,5,5,0.37
SKU_1012,Sweden,93.147,"[0.0, 0.0, 0.0, 0.5482184937952378]","[0.0, 0.0, 0.0, 8.0]",7,7,7,0.36
SKU_1012,United Kingdom,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 49.0]",7,7,7,0.02
SKU_1013,Australia,100.0,"[0.0, 0.0, 0.011198374494428837, 0.0]","[0.0, 0.0, 0.0, 42.0]",3,3,3,0.24
SKU_1013,Belgium,14.222,"[7.809120349229997, 7.8091298339139295, 7.809139395360839, 7.813064332625597]","[8.05, 8.05, 8.05, 15.0]",4,7,0,0.31
SKU_1013,France,84.026,"[0.0, 0.0, 0.0, 0.4792077656471557]","[0.0, 0.0, 0.0, 3.0]",4,4,4,0.25
SKU_1013,Italy,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 48.0]",3,3,3,0.38
SKU_1013,Netherlands,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 23.0]",3,3,3,0.19
SKU_1013,Norway,99.869,"[0.030746799769252497, 0.30567251214749347, 0.03411229087122455, 0.03406091030997542]","[0.0, 0.0, 0.0, 26.0]",3,3,3,0.3
SKU_1013,Portugal,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 45.0]",4,4,4,0.33
SKU_1013,Spain,100.0,"[0.045045405852116645, 0.041372273366082485, 0.00717047715850157, 0.0]","[0.0, 0.0, 0.0, 5.0]",6,6,6,0.39
SKU_1013,Sweden,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 28.0]",4,4,4,1.62
SKU_1013,United Kingdom,16.154,"[11.875607751838006, 12.0, 12.0, 12.0]","[12.0, 12.0, 12.0, 32.95]",2,7,0,0.26
SKU_1013,United States,99.884,"[0.032348181747495534, 0.03235517332235041, 0.03236118480069752, 0.03236614265262437]","[0.0, 0.0, 0.0, 28.0]",3,3,3,0.34
SKU_1014,Belgium,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 44.0]",3,3,3,0.34
SKU_1014,France,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 9.0]",5,5,5,0.46
SKU_1014,Germany,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 33.0]",4,4,4,0.24
SKU_1014,Italy,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 17.0]",1,1,1,0.23
SKU_1014,Netherlands,100.0,"[0.0, 0.0, 0.48406391247890007, 0.0]","[0.0, 0.0, 0.0, 18.0]",4,4,4,0.31
SKU_1014,Norway,100.0,"[0.0, 0.0009465800212172267, 0.0009642786837784868, 0.0]","[0.0, 0.0, 0.0, 33.0]",7,7,7,0.34
SKU_1014,Portugal,10.079,"[6.491569842208524, 12.624347060546613, 23.777561543963834, 44.061062620955]","[0.0, 0.0, 0.0, 49.0]",11,20,0,1.0
SKU_1014,Spain,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 21.0]",1,1,1,0.47
SKU_1014,Sweden,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 6.0]",6,6,6,0.25
SKU_1014,United Kingdom,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 47.0]",5,5,5,0.31
SKU_1014,United States,99.968,"[0.014738759253271628, 0.27648769894695313, 0.014841623069459724, 0.014829967243198608]","[0.0, 0.0, 0.0, 46.0]",2,2,2,0.28
SKU_1015,Australia,99.191,"[0.037714895751966945, 0.008599993941416246, 0.0, 0.03237371436488154]","[0.0, 0.0, 0.0, 4.0]",1,1,1,0.33
SKU_1015,Belgium,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 33.0]",4,4,4,0.39
SKU_1015,France,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 30.0]",3,3,3,0.41
SKU_1015,Germany,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 49.0]",4,4,4,0.33
SKU_1015,Netherlands,99.709,"[0.0, 0.0, 0.0, 0.08151431300586913]","[0.0, 0.0, 0.0, 28.0]",4,4,4,0.44
SKU_1015,Portugal,99.936,"[0.018792338815980667, 0.00752681311539083, 0.0, 0.019133743708062933]","[0.0, 0.0, 0.0, 30.0]",5,5,5,0.31
SKU_1015,Spain,32.207,"[6.560212408808614, 6.49, 6.5211866835019245, 7.3461777618285895]","[6.49, 40.0, 6.49, 13.0]",4,7,0,0.25
SKU_1015,Sweden,23.387,"[2.283885179554158, 2.42, 2.42, 2.415691526819389]","[2.42, 2.42, 2.42, 20.0]",4,5,2,0.34
SKU_1015,United Kingdom,100.0,"[0.0, 0.005928151791329667, 0.005261503849591714, 0.0]","[0.0, 0.0, 0.0, 23.0]",4,4,4,0.41
SKU_1015,United States,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 39.0]",2,2,2,0.2
SKU_1016,Australia,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 18.0]",4,4,4,0.33
SKU_1016,Belgium,99.666,"[0.0, 0.0, 0.02169820796311172, 0.01003398426033689]","[0.0, 0.0, 0.0, 3.0]",3,3,3,0.22
SKU_1016,France,3.594,"[1.42, 1.42, 1.3179421924372219, 1.3178957877098147]","[1.42, 1.42, 1.42, 1.42]",4,4,3,0.36
SKU_1016,Germany,25.306,"[1.31548662671318, 1.327482659450808, 1.35, 1.35]","[1.35, 1.35, 1.35, 45.0]",3,4,3,0.32
SKU_1016,Italy,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 45.0]",6,6,6,0.53
SKU_1016,Netherlands,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 25.0]",1,1,1,0.25
